id,name,age,score,active,address,type,position,color
1,Lavon Effertz,34,60.46,false,762 Dickinson Junction,1,"(-7,9,-9)","(0,0.8,0.5)"
2,Justice Cremin,22,57.36,false,73592 Brekke Ridge,0,"(1,8,2)","(0.3,0.8,0.5)"
3,Theresa Spencer,53,21.89,true,364 Cormier Lights,1,"(-2,-2,-3)","(0.7,0.7,0.5)"
4,Rosa Torphy,22,54.10,true,8792 Kohler Avenue,4,"(7,0,6)","(0.2,0.3,0.9)"
5,,21,65.15,true,757 Schinner Way,3,"(-5,-4,-8)","(0.6,0.5,0.9)"
6,Madyson Bechtelar,44,50.17,true,454 Judd Plaza,5,"(4,-8,9)","(0.5,0.9,0.8)"
7,Kaylee Buckridge,50,27.87,true,5672 McKenzie Orchard,1,"(8,-8,-10)","(0.7,0.6,0.1)"
8,Kenny Kohler III,35,10.28,true,9583 Lowe Terrace,0,"(-10,-7,9)","(0.5,0.3,0)"
9,Omari Wilkinson,38,70.59,false,2751 Little Plains,4,"(8,5,-4)","(0.3,0.4,0.5)"
10,Beryl Parisian,26,97.03,false,48013 Erwin Lakes,5,"(8,-7,-3)","(0.5,0.8,0.8)"
11,Brielle Gutmann,31,6.570,true,36277 Hoeger Isle,4,"(7,7,7)","(0.2,0.2,0.8)"
12,Cleora Cronin,30,44.44,true,012 Valentina Shores,0,"(-4,10,-5)","(0.3,0.9,0.1)"
13,,26,70.49,false,783 Klocko Circle,0,"(6,-1,-7)","(0.5,0.4,0.6)"
14,Trey Reichel,39,22.19,false,296 Balistreri Extensions,5,"(3,-7,-9)","(0.3,0.9,0.2)"
15,Ms. Jermain Quitzon,47,0.8600,false,2843 Lowe Roads,0,"(-5,4,10)","(0.4,0.8,0.3)"
16,Weldon Hermiston,32,51.61,false,5090 Izabella Estate,2,"(2,-8,7)","(0.4,0.6,0.7)"
17,Mr. Ari Reichert,34,19.58,true,780 Rupert Grove,0,"(-3,1,-9)","(0.3,0.6,0.2)"
18,Turner Bernhard,47,65.56,false,142 Rickie Fields,5,"(-3,-1,-8)","(0.1,0.6,0.9)"
19,Harrison Volkman,31,63.39,true,447 Winfield Mews,2,"(6,6,-7)","(0.7,0.8,0.5)"
20,Germaine Reynolds DVM,54,75.52,true,8922 Coralie Corner,2,"(-8,-3,1)","(0.5,0.8,0.3)"
21,Lucy Steuber,26,39.26,false,8641 Ernser Circles,5,"(-7,5,-4)","(0.5,0.8,0.4)"
22,Ryley Prohaska,34,12.84,true,942 Walker Forks,3,"(-5,4,7)","(0.7,0.5,0.7)"
23,,44,67.16,false,351 Shirley Oval,3,"(4,9,-6)","(0.2,0.9,0.1)"
24,Christian Harber,35,22.79,true,693 Shaina Plains,1,"(-1,-6,3)","(0.8,1,0.3)"
25,Elwyn Renner,22,77.94,false,8346 Lonie Harbors,4,"(-9,3,-6)","(0.1,0.6,0.7)"
26,Herta Larson,30,86.04,true,724 Brekke Estate,5,"(0,-7,-1)","(0,0.4,0.6)"
27,Ruben Lueilwitz,44,23.84,true,813 Baumbach Plaza,1,"(6,2,0)","(0.9,0.1,0.2)"
28,Carlie Bosco,24,59.60,false,637 Breitenberg Terrace,2,"(-1,6,4)","(0.5,0.9,1)"
29,Darby Stamm,38,41.51,true,541 Beau Club,0,"(2,-5,7)","(0.5,0.8,0.7)"
30,Marjorie D'Amore,55,61.31,false,4758 Wyman Locks,2,"(10,-2,-10)","(0.8,0.8,0)"
31,Lorenzo Haley,20,53.03,false,994 Drew Groves,1,"(-3,2,-8)","(1,0.4,0.2)"
32,,39,56.70,true,61421 Rolfson Walk,1,"(7,-6,10)","(0.7,0.7,0.7)"
33,Kianna Breitenberg,35,16.94,false,2653 Hills Lodge,2,"(-3,-5,-10)","(0.5,0.2,0.6)"
34,Adelbert Ritchie,45,60.41,true,8678 Paucek Shoal,1,"(9,8,-1)","(0.4,0.7,0.9)"
35,Janae Haag,32,72.61,true,7750 Rogahn View,0,"(-3,-5,7)","(0.3,0.1,0.2)"
36,Boyd Anderson,34,74.90,false,754 Schmitt Valleys,4,"(4,4,-5)","(0.8,0.4,0.6)"
37,Clare Champlin,35,58.20,true,33050 Darlene Bridge,4,"(-3,-8,-1)","(0.7,0,0.4)"
38,Lyda Dietrich,43,37.70,true,239 Chauncey Plaza,5,"(8,-2,5)","(1,0.6,0.3)"
39,Janiya Bode,46,19.17,true,884 Romaguera Stream,5,"(-6,5,5)","(0,0,0.8)"
40,Nola Goodwin,29,35.60,false,4431 Morar Motorway,0,"(-4,8,0)","(1,0.2,0.1)"
41,Jimmie Hammes Jr.,51,31.95,true,3131 Richmond Radial,2,"(-1,-8,-5)","(0.4,0.6,0.9)"
42,Mrs. Destiney Schoen,42,88.88,false,142 Amanda Keys,2,"(10,2,-1)","(0.9,0.6,0.9)"
43,Garrison Jacobson,23,73.67,true,179 Jerel Valleys,2,"(10,-10,-5)","(0.8,0.5,0.9)"
44,Horacio Becker,24,66.60,true,22790 Ramon Orchard,4,"(-9,6,-8)","(0.5,0.1,0.3)"
45,Mrs. Garrick Dicki,32,0.4300,false,8384 Nienow Shore,3,"(7,7,8)","(0.3,0.1,0.6)"
46,Fiona Stamm,47,61.62,false,2853 Kellen Road,1,"(5,3,4)","(0.5,0.3,0.6)"
47,Ms. Rafaela Pollich,35,8.660,false,6674 Huel Light,5,"(-1,1,10)","(0,0.1,0.1)"
48,Dedrick Oberbrunner,38,42.14,true,86495 Harry Meadows,3,"(-5,8,-6)","(0.4,0,0)"
49,Zoie Strosin,54,38.01,false,0145 Sedrick Circles,5,"(-6,4,-8)","(0.4,0.8,0.2)"
50,Dusty Padberg,55,5.610,false,50722 Stamm Corner,2,"(4,8,8)","(0,1,0)"
51,Jeramy Hackett,43,46.85,true,1330 Ethyl Landing,4,"(6,9,-3)","(0,1,1)"
52,Brandon Flatley,34,76.23,false,5679 Ashlynn Streets,0,"(5,-9,-6)","(0.7,0.2,0.9)"
53,Vinnie Greenfelder,20,63.91,true,639 Jakayla Lakes,5,"(7,-3,-8)","(0.4,0.7,0.4)"
54,Vilma Lemke,22,59.13,true,558 Kacie Prairie,4,"(-9,1,-9)","(0.1,0.1,0.7)"
55,Demetrius Bailey,52,85.20,false,90489 Lyda Pike,4,"(0,-7,-2)","(0.8,0.1,0.4)"
56,Emmalee Luettgen,36,91.26,false,32618 Kiel Road,0,"(9,9,6)","(0.9,0.6,0.1)"
57,Damaris DuBuque,32,61.22,true,567 Solon View,5,"(-6,7,4)","(0.6,0,0.3)"
58,Dr. Santiago Kihn,23,71.92,true,00609 Pagac Prairie,5,"(7,-4,-6)","(1,0.1,1)"
59,Kelvin Goyette,55,34.32,false,9305 Toy Point,3,"(-3,-3,9)","(0,0.8,0)"
60,Brando Greenfelder,39,16.35,false,07695 Reilly Brook,2,"(1,-6,-5)","(0,0.6,0.4)"
61,Holly Gerlach,40,80.47,false,5144 Rohan Ways,4,"(-8,-2,0)","(0.5,0.7,0.9)"
62,Genevieve Douglas,29,26.91,true,23391 Kemmer Union,0,"(8,8,-3)","(0.6,0.2,0.5)"
63,Alexandro Treutel,20,98.62,true,9485 Pfeffer Turnpike,4,"(-2,-3,8)","(0.4,0,0.3)"
64,Juana Kovacek,19,2.040,true,4725 Greenfelder Parks,1,"(-2,2,-7)","(0.6,0.8,0.7)"
65,Savanah Lemke,52,35.45,true,971 Ernestina Vista,5,"(10,8,9)","(0.5,0.5,0.8)"
66,Glennie Fahey PhD,38,86.89,false,22341 Eldon Circles,1,"(-4,10,-7)","(0.8,0.7,0.5)"
67,Macey Labadie Sr.,54,9.740,true,39122 McGlynn Land,2,"(4,8,6)","(0.2,0.2,0.2)"
68,Marvin Boehm MD,25,25.21,false,42062 Tyrell Fords,0,"(-8,-3,5)","(0.6,0.3,1)"
69,Margot Runte,51,16.90,true,1378 Kuphal Locks,2,"(-4,-3,6)","(0.1,0.2,0.8)"
70,Alisa Buckridge V,38,66.20,true,771 Dominique Terrace,3,"(-5,2,6)","(0.3,0.6,0.7)"
71,Crystal Kub,40,48.63,false,4677 Kareem Fork,2,"(1,7,9)","(0.5,0.4,0.1)"
72,Cornell Dibbert,33,30.56,true,79432 Langworth Locks,1,"(7,-5,0)","(0.5,0.9,0.6)"
73,Emma Jacobi,25,14.34,true,591 Padberg Prairie,3,"(-3,-7,-2)","(0.5,0.6,0.8)"
74,Celestine Dickens,39,33.90,true,8354 Walsh Unions,3,"(-5,0,3)","(0.5,0.5,0.1)"
75,Nicholaus Hauck,20,3.320,true,55077 Gregoria Avenue,4,"(5,-10,-6)","(0.4,0.3,0.7)"
76,Benjamin Harber III,30,53.01,false,0831 Hackett Center,4,"(-9,8,3)","(0.6,0.6,1)"
77,Hazle Hermann,40,85.76,true,18779 Keebler Mills,3,"(5,6,4)","(0.3,0.9,0.1)"
78,Aliya Roberts,53,50.47,true,30029 Barney Points,5,"(-8,0,3)","(0.6,0.7,0.4)"
79,Jayson Hirthe,54,74.97,false,3693 Jenkins Canyon,1,"(-5,-10,-7)","(1,0.3,0.1)"
80,Easter Hauck,43,73.11,true,08646 Krajcik Garden,4,"(-5,10,-10)","(0.3,1,0.5)"
81,Florence Will,31,54.43,true,54364 Claud Ford,2,"(-8,-2,8)","(0.1,0.1,0)"
82,Alvis Abbott,26,61.35,true,356 Tressa Oval,4,"(-3,-1,-7)","(0.1,0.8,0.5)"
83,Madie Senger,41,87.87,false,0120 Maddison Ports,4,"(-3,3,6)","(0.5,0.9,0)"
84,Hollie Kiehn,34,23.00,false,2626 Herman Key,3,"(8,-8,-8)","(0.7,0.4,0)"
85,Citlalli Gottlieb,23,32.93,true,0496 Elfrieda Creek,2,"(5,10,3)","(0.2,1,0.6)"
86,Houston Volkman,36,49.04,true,74123 Leffler Rest,2,"(4,2,9)","(0.2,0.8,0.8)"
87,Dereck Friesen,53,27.09,true,392 Cullen Field,3,"(6,8,9)","(0.8,0.1,0.9)"
88,Zackery Gulgowski,43,11.73,true,722 Krajcik Shoal,1,"(6,4,-9)","(0.3,0.8,0.1)"
89,Ms. Howell Stroman,30,42.12,true,72084 Viviane Spurs,3,"(4,-1,-8)","(0.3,0,0.4)"
90,Alexa Hoeger,29,39.29,false,36238 Destiny Stream,3,"(6,-6,-10)","(0.1,0.8,0)"
91,Mrs. Daren Lubowitz,25,0.1200,false,63075 Ratke Fields,3,"(8,2,10)","(0,0,0.4)"
92,Keshaun Lesch MD,25,37.81,true,531 Alexis Villages,3,"(3,-2,-7)","(0.1,0.2,0)"
93,Katlyn Ward DDS,40,40.47,false,992 Jerod Bridge,1,"(-1,8,-4)","(0.5,0.8,0.2)"
94,Magdalen Hoppe,35,68.83,false,24790 Anderson Burgs,3,"(5,-7,1)","(0.2,0.6,0.5)"
95,Ariane Beier,51,46.73,true,28571 Diego Station,0,"(9,10,8)","(0.7,0.9,0.6)"
96,Krystal Kuvalis,26,31.77,false,5327 Joel Row,0,"(-6,4,10)","(0.5,1,0.8)"
97,Aryanna Morar,24,22.50,true,4220 Conroy Park,3,"(-5,-9,1)","(0.6,0.3,0.7)"
98,Mrs. Muhammad Runolfsson,55,32.43,true,95202 Jeffry Harbor,1,"(-9,-4,-3)","(0.4,0.4,0.7)"
99,Marjorie Blick,33,75.55,true,9642 Jan Drive,1,"(3,7,6)","(0,0.2,0.5)"
100,Judah Kuphal III,18,15.48,true,6248 Maudie Trafficway,4,"(8,-4,1)","(0.4,0.1,0.5)"
101,Willis Strosin,48,54.66,true,40025 Bins Route,1,"(6,7,8)","(0.9,0.8,0.5)"
